CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,Location 1,crimeCaseNumber
6/11/16,1541,1F,0 SHIPLEY ST,HOMICIDE,FIREARM,842,SOUTHWESTERN,Shipley Hill,"(39.2877000000, -76.6581800000)",
6/11/16,133,1F,900 PENNSYLVANIA AV,HOMICIDE,FIREARM,121,CENTRAL,Heritage Crossing,"(39.2969200000, -76.6265300000)",
6/10/16,2340,1F,400 E 22ND ST,HOMICIDE,FIREARM,341,EASTERN,Barclay,"(39.3145100000, -76.6104700000)",
6/10/16,1938,1F,2500 KEYWORTH AV,HOMICIDE,FIREARM,533,NORTHERN,Greenspring,"(39.3346700000, -76.6594000000)",
6/9/16,1636,1F,1900 EDMONDSON AV,HOMICIDE,FIREARM,722,WESTERN,Midtown-Edmondson,"(39.2951000000, -76.6480100000)",
6/9/16,2329,1F,100 N SMALLWOOD ST,HOMICIDE,FIREARM,714,WESTERN,Penrose/Fayette Street Outreach,"(39.2896600000, -76.6515900000)",
6/8/16,1853,1F,1300 JAMES ST,HOMICIDE,FIREARM,932,SOUTHERN,Washington Village/Pigtown,"(39.2813800000, -76.6364200000)",
6/8/16,2138,1F,4300 FERNHILL AV,HOMICIDE,FIREARM,621,NORTHWESTERN,West Arlington,"(39.3376900000, -76.6918800000)",
6/6/16,345,1F,1500 SPRUCE ST,HOMICIDE,FIREARM,911,SOUTHERN,Curtis Bay,"(39.2298500000, -76.5898900000)",
6/6/16,345,1F,1500 SPRUCE ST,HOMICIDE,FIREARM,911,SOUTHERN,Curtis Bay,"(39.2298500000, -76.5898900000)",
6/4/16,113,1F,200 N FREMONT AV,HOMICIDE,FIREARM,712,WESTERN,Poppleton,"(39.2913200000, -76.6302200000)",
6/3/16,24,1F,900 ALLENDALE ST,HOMICIDE,FIREARM,844,SOUTHWESTERN,Edgewood,"(39.2981700000, -76.6785700000)",
6/3/16,2110,1F,700 N MONROE ST,HOMICIDE,FIREARM,722,WESTERN,Midtown-Edmondson,"(39.2967500000, -76.6474400000)",
5/31/16,2130,1F,2200 BARCLAY ST,HOMICIDE,FIREARM,341,EASTERN,Barclay,"(39.3145000000, -76.6111700000)",
5/28/16,2356,1F,500 S BROADWAY,HOMICIDE,FIREARM,213,SOUTHEASTERN,Fells Point,"(39.2854200000, -76.5934400000)",
5/27/16,722,1F,2900 ROSALIND AV,HOMICIDE,FIREARM,532,NORTHERN,Cylburn,"(39.3459200000, -76.6637400000)",
5/27/16,1624,1K,1600 W NORTH AV,HOMICIDE,KNIFE,733,WESTERN,Penn North,"(39.3100000000, -76.6432200000)",
5/26/16,1610,1O,4200 WILLSHIRE AV,HOMICIDE,OTHER,444,NORTHEASTERN,Frankford,"(39.3392000000, -76.5492100000)",
5/26/16,1809,1F,2700 THE ALAMEDA,HOMICIDE,FIREARM,411,NORTHEASTERN,Coldstream Homestead Montebello,"(39.3215600000, -76.5912800000)",
5/26/16,1809,1F,2700 THE ALAMEDA,HOMICIDE,FIREARM,411,NORTHEASTERN,Coldstream Homestead Montebello,"(39.3215600000, -76.5912800000)",
5/26/16,1858,1F,1600 E OLIVER ST,HOMICIDE,FIREARM,343,EASTERN,Oliver,"(39.3074400000, -76.5963200000)",
5/25/16,1728,1F,1200 N CAREY ST,HOMICIDE,FIREARM,743,WESTERN,Sandtown-Winchester,"(39.3026400000, -76.6389500000)",
5/25/16,1755,1O,500 E PATAPSCO AV,HOMICIDE,OTHER,913,SOUTHERN,Brooklyn,"(39.2366600000, -76.6033500000)",
5/25/16,1900,1F,0 N GILMOR ST,HOMICIDE,FIREARM,711,WESTERN,Franklin Square,"(39.2891300000, -76.6424600000)",
5/25/16,1958,1F,400 FORREST ST,HOMICIDE,FIREARM,312,EASTERN,Oldtown,"(39.2950600000, -76.6034600000)",
5/25/16,2112,1F,2400 FREDERICK AV,HOMICIDE,FIREARM,842,SOUTHWESTERN,Shipley Hill,"(39.2842200000, -76.6545700000)",
5/23/16,1315,1F,5400 NELSON AV,HOMICIDE,FIREARM,633,NORTHWESTERN,Arlington,"(39.3484000000, -76.6857700000)",
5/23/16,2256,1F,3500 HAYWARD AV,HOMICIDE,FIREARM,633,NORTHWESTERN,Arlington,"(39.3492100000, -76.6800000000)",
5/23/16,2341,1F,200 N STRICKER ST,HOMICIDE,FIREARM,711,WESTERN,Franklin Square,"(39.2908100000, -76.6411400000)",
5/20/16,620,1F,400 W SARATOGA ST,HOMICIDE,FIREARM,111,CENTRAL,Downtown,"(39.2928500000, -76.6212400000)",
5/17/16,2152,1F,4200 SHELDON AV,HOMICIDE,FIREARM,442,NORTHEASTERN,Belair-Edison,"(39.3286100000, -76.5646200000)",
5/12/16,2244,1F,1700 MANOR AV,HOMICIDE,FIREARM,243,SOUTHEASTERN,Broening Manor,"(39.2738100000, -76.5330200000)",
5/10/16,1742,1F,1500 N SMALLWOOD ST,HOMICIDE,FIREARM,723,WESTERN,Coppin Heights/Ash-Co-East,"(39.3055000000, -76.6524900000)",
5/8/16,222,1F,600 N DECKER AV,HOMICIDE,FIREARM,224,SOUTHEASTERN,Ellwood Park/Monument,"(39.2984100000, -76.5745000000)",
5/7/16,19,1F,3400 ROUND RD,HOMICIDE,FIREARM,922,SOUTHERN,Cherry Hill,"(39.2439400000, -76.6247000000)",
